,year,title
2543,2019,Food Research International
2544,2019,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
2546,2018,Applied Geography
2547,2017,Oceania
2548,2018,Journal of Applied Communications
2549,2017,Journal of the World Aquaculture Society
2552,2017,Biotechnology for Biofuels
2565,2020,Maryland Shared Open Access Repository (USMAI Consortium)
2568,2018,Journal of Environmental Psychology
2569,2020,SSM - Population Health
2573,2017,Agronomy for Sustainable Development
2579,2019,Journal of Public Affairs
2582,2019,Utah State Research and Scholarship (Utah State University)
2589,2021,Global Food Security
2590,2021,OPAL (Open@LaTrobe) (La Trobe University)
2594,2019,Montana State University ScholarWorks (Montana State University)
2602,2018,Environmental Research
2611,2019,Canadian Journal of Forest Research
2612,2017,Social Science & Medicine
2614,2018,Habitat International
2615,2018,VU Research Portal
2618,2017,California Agriculture
2621,2017,Geoarchaeology
2622,2017,Vector-Borne and Zoonotic Diseases
2624,2017,Environmental Science and Pollution Research
2626,2021,Journal of the American Medical Informatics Association
2629,2021,The Journal of Rural Health
2634,2018,Resource and Energy Economics
2649,2020,World Development
2650,2018,Journal of Public Policy & Marketing
2653,2018,International Journal of Environmental Research and Public Health
2655,2018,IUScholarWorks (Indiana University)
2658,2018,Ecological Informatics
2660,2021,Radboud Repository (Radboud University)
2663,2017,Project Muse (Johns Hopkins University)
2665,2017,Arboriculture & Urban Forestry
2667,2017,Urban Ecosystems
2668,2019,Journal of Transport & Health
2671,2018,GCB Bioenergy
2674,2020,Earth s Future
2678,2022,MMWR Surveillance Summaries
2681,2017,The Annals of the American Academy of Political and Social Science
2686,2018,Cambridge Journal of Regions Economy and Society
2688,2019,Energy Policy
2690,2020,Urology Practice
2692,2017,Tobacco Control
2699,2020,Food Quality and Preference
2704,2019,Journal of Rural Studies
2705,2017,American Journal of Clinical Nutrition
2709,2018,Journal of Nutrition Education and Behavior
2711,2019,Journal of Environmental Economics and Policy
2712,2018,Journal of Urban Affairs
2713,2018,Journal of School Health
2715,2019,Wetlands
2716,2019,AWWA Water Science
2717,2019,Criminal Justice and Behavior
2718,2019,Environment International
2720,2019,Appetite
2722,2018,Parasites & Vectors
2732,2020,Annals of the New York Academy of Sciences
2733,2018,Frontiers in Environmental Science
2736,2022,Duo Research Archive (University of Oslo)
2740,2018,Journal of Transport & Health
2743,2018,Journal of Radiation Research
2748,2018,Durham Research Online (Durham University)
2749,2021,Environmental Health
2751,2021,Europe PMC (PubMed Central)
2752,2021,University Libraries (University of Maryland)
2761,2021,International Journal of Infectious Diseases
2763,2022,AJP Heart and Circulatory Physiology
2766,2020,Current Opinion in Environmental Sustainability
2767,2020,Rothamsted Repository (Rothamsted Repository)
2768,2020,Repository KITopen (Karlsruhe Institute of Technology)
2770,2020,North American Electric Reliability Corporation Open Archive (North American Electric Reliability Corporation)
2771,2017,Journal of Planning Education and Research
2772,2017,Scholar Commons (Santa Clara University)
2773,2020,Rural Mental Health
2774,2020,Montana State University ScholarWorks (Montana State University)
2775,2017,The Journal of Interdisciplinary History
2776,2019,Health Services Research
2780,2017,Journal of Food Products Marketing
2781,2018,Review of Regional Studies
2782,2019,BMC Genomics
2786,2018,Nutrients
2791,2023,The Journal of Rural Health
2794,2022,Water
2796,2017,Biological Invasions
2797,2021,Open Forum Infectious Diseases
2804,2018,Maryland Shared Open Access Repository (USMAI Consortium)
2813,2019,Forests
2817,2021,Sustainable Cities and Society
2818,2021,arXiv (Cornell University)
2821,2021,DataCite API
2825,2018,Journal of Environmental Planning and Management
2828,2018,NOAA Institutional Repository
2830,2018,Journal of Agricultural and Food Chemistry
2833,2019,The Social Science Journal
2836,2018,Poultry Science
2838,2019,Oral Oncology
2840,2018,Journal of Rural Studies
2841,2020,Surgery
2844,2018,Environmental Geochemistry and Health
2845,2019,Plants People Planet
2846,2018,Innovative Food Science & Emerging Technologies
2847,2018,The Annals of the American Academy of Political and Social Science
2851,2022,Health Services Research
2856,2018,CATENA
2857,2021,Michigan Law Review
2861,2018,Family & Community Health
2863,2019,Public Choice
2870,2017,Carolina Digital Repository (University of North Carolina at Chapel Hill)
2872,2017,Journal of Hunger & Environmental Nutrition
2877,2018,Social Networks
2878,2018,Virtual Community of Pathological Anatomy (University of Castilla La Mancha)
2879,2017,Telecommunications Policy
2880,2019,Food Quality and Preference
2883,2017,Medical Care
2887,2018,Economic Development Quarterly
2888,2018,Environmental Earth Sciences
2889,2018,Texas ScholarWorks (Texas Digital Library)
2891,2017,Wetlands
2892,2020,Plant Direct
2896,2020,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)"
2898,2020,"Digital Commons - CSUMB (California State University, Monterey Bay)"
2901,2018,Politics Groups and Identities
2902,2020,Biogeochemistry
2905,2017,The American Journal of Emergency Medicine
2907,2017,Early Child Development and Care
2914,2017,Repositorio Institucional E-DocUR (Universidad Del Rosario)
2917,2019,Ecological Applications
2921,2017,Semina Ciências Agrárias
2925,2017,Redalyc (Universidad Autónoma del Estado de México)
2926,2022,Nutrition Reviews
2929,2022,Computers Environment and Urban Systems
2937,2017,Journal of Urban Affairs
2938,2019,International Journal of Infectious Diseases
2944,2019,Energy Efficiency
2946,2018,American Journal of Audiology
2953,2019,Purdue University Indianapolis (Indiana University)
2956,2022,JNCI Journal of the National Cancer Institute
2958,2022,ScholarSphere (Penn State Libraries)
2965,2020,JMIR Research Protocols
2974,2019,European Journal of Nutrition
2975,2017,Journal of Food Composition and Analysis
2976,2019,Spatial Demography
2977,2017,Journal of Insect Science
2981,2019,The Energy Journal
2983,2018,Bepress (Digital Commons)
2986,2017,BMC Public Health
2989,2017,ScholarWorks @UVM (University of Vermont)
2990,2017,The Scholarship East Carolina University's Institutional Repository (East Carolina University)
2997,2019,Early Childhood Research Quarterly
2998,2019,Econstor (Econstor)
3000,2019,Ecosphere
3003,2018,Foodborne Pathogens and Disease
3010,2021,GeoHealth
3015,2018,Agricultural and Forest Entomology
3016,2018,VTechWorks (Virginia Tech)
3017,2017,Eurasian Geography and Economics
3018,2020,Advances in Nutrition
3032,2019,Purdue e-Pubs (Purdue University System)
3035,2019,Frontiers in Veterinary Science
3042,2020,Science Advances
3046,2017,Journal of Community Health
3048,2018,Ecosystem Services
3050,2017,Anthrozoös
3051,2017,D-Scholarship@Pitt (University of Pittsburgh)
3053,2019,Environmental Health Perspectives
3059,2018,The American Review of Public Administration
3060,2018,KDI Central Archives (Korea Development Institute)
3061,2021,Aquaculture Reports
3064,2021,Jukuri (Natural Resources Institute Finland (Luke))
3065,2021,Edinburgh Research Explorer (University of Edinburgh)
3066,2021,Flemish Marine Institute (Flanders Marine Institute)
3069,2021,Institutional Archive of Ifremer (French Research Institute for Exploitation of the Sea)
3071,2021,Research Portal (Queen's University Belfast)
3073,2017,Gender Place & Culture
3076,2022,California Agriculture
3083,2018,IT University Of Copenhagen (IT University of Copenhagen)
3092,2018,Journal of Geophysical Research Atmospheres
3098,2017,American Economic Review
3114,2018,Conservation Biology
3122,2021,PolyU Institutional Research Archive (Hong Kong Polytechnic University)
3123,2017,Population and Environment
3126,2017,Institutional Repository University of Antwerp (University of Antwerp)
3127,2017,IMF staff discussion note
3129,2023,Frontiers in Sustainable Energy Policy
3130,2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)
3132,2022,RSF The Russell Sage Foundation Journal of the Social Sciences
3133,2022,Project Muse (Johns Hopkins University)
3135,2017,Social Work in Health Care
3137,2023,Annual Review of Nutrition
3141,2019,Journal of Industrial Ecology
3142,2017,Journal of Co-operative Organization and Management
3143,2018,Contemporary Family Therapy
3144,2019,Journal of the World Aquaculture Society
3145,2018,Journal of Studies on Alcohol and Drugs
3149,2017,Journal of Tropical Ecology
3150,2017,Seminars in Hearing
3154,2018,Cornell University Press eBooks
3155,2018,Journal of Development Economics
3156,2021,The Plant Cell
3159,2018,Precision Agriculture
3162,2017,HortTechnology
3168,2017,Ethnicity & Disease
3172,2018,Ecological Engineering
3173,2018,Scientific Reports
3178,2018,Journal of Hydrologic Engineering
3184,2019,Health Economics
3203,2021,Journal of the American Heart Association
3207,2018,Review of Middle East Studies
3208,2018,Journal of Geophysical Research Biogeosciences
3210,2018,Applied Microbiology and Biotechnology
3219,2018,FEMS Microbiology Ecology
3225,2017,The Annals of Regional Science
3228,2019,Transportation Research Record Journal of the Transportation Research Board
3229,2018,The Rural Educator
3231,2019,Food Security
3233,2017,Biomass and Bioenergy
3234,2020,Frontiers in Psychiatry
3244,2019,Structure and Infrastructure Engineering
3248,2018,Social Forces
3249,2017,International Journal of Water Resources Development
3252,2017,Economic Development Quarterly
3253,2017,The Open Repository - Binghamton (Binghamton University)
3261,2019,Waste Management
3263,2018,Spatial and Spatio-temporal Epidemiology
3273,2019,International Journal of Hospitality Management
3275,2017,Journal of Vegetation Science
3276,2019,Journal of Community Health
3278,2018,American Journal of Botany
3280,2017,Ecosphere
3291,2021,Food Quality and Preference
3292,2021,Terrestrial Environment Research Center (University of Tsukuba)
3293,2017,Epidemiology and Infection
3297,2018,Aquaculture Economics & Management
3301,2017,Journal of Water Resources Planning and Management
3302,2018,JAMA Pediatrics
3306,2017,Irrigation Science
3307,2019,Frontiers in Ecology and Evolution
3313,2021,Carbon Balance and Management
3317,2017,The Journal of Development Studies
3321,2018,Prostaglandins Leukotrienes and Essential Fatty Acids
3323,2017,Food Security
3324,2019,The Review of Economics and Statistics
3326,2018,Health Equity
3331,2017,Humanity & Society
3332,2018,JMIR Public Health and Surveillance
3336,2017,Nutrition and Diabetes
3339,2020,Agricultural and Resource Economics Review
3340,2019,Industrial Crops and Products
3341,2017,Sex Education
3343,2021,Environment and Planning E Nature and Space
3344,2021,Durham Research Online (Durham University)
3356,2019,Continental Shelf Research
3357,2019,NOAA Institutional Repository
3358,2017,Academic Medicine
3360,2019,The Journal of Pediatrics
3365,2018,Journal of Foodservice Business Research
3368,2022,Institutional Repository of Leibniz Universität Hannover (Leibniz Universität Hannover)
3371,2021,IZA Journal of Development and Migration
3372,2021,SOPHIA (St. Catherine University)
3373,2019,Ticks and Tick-borne Diseases
3375,2020,Comparative Migration Studies
3377,2020,KTH Publication Database DiVA (KTH Royal Institute of Technology)
3378,2017,Journal of Urban Ecology
3379,2019,Biological Conservation
3380,2020,Nutrients
3394,2017,Chinese Economy
3396,2018,American Journal of Industrial Medicine
3398,2020,Global Environmental Change
3405,2019,Palgrave Communications
3408,2022,Journal of Heredity
3411,2019,Environment and Planning A Economy and Space
3412,2022,Frontiers in Nutrition
3422,2018,Childhood Obesity
3424,2017,Columbia Academic Commons (Columbia University)
3429,2019,Routledge eBooks
3430,2019,eCommons (Cornell University)
3432,2018,Regional Science Policy & Practice
3433,2018,Phytobiomes Journal
3435,2019,KU ScholarWorks (The University of Kansas)
3436,2017,Water Research
3456,2017,Epidemics
3458,2017,Warwick Research Archive Portal (University of Warwick)
3459,2017,Dépôt institutionnel de l'Université libre de Bruxelles (Université Libre de Bruxelles)
3461,2019,Biological Control
3472,2017,PDXScholar  (Portland State University)
3477,2021,Limnology and Oceanography Letters
3480,2021,Land
3492,2019,Resources Conservation and Recycling
3493,2017,Journal of Public Administration Research and Theory
3495,2020,Journal of Nutrition Education and Behavior
3497,2019,Proceedings of the 2019 AERA Annual Meeting
3498,2017,Journal of the American College of Surgeons
3503,2017,DSpace@MIT (Massachusetts Institute of Technology)
3505,2019,Frontiers in Marine Science
3509,2019,CINECA IRIS Institutial research information system (University of Pisa)
3510,2019,Platform voor marien onderzoek (Vlaams Instituut Voor De Zee)
3512,2019,Archimer (Ifremer)
3515,2019,St Andrews Research Repository (St Andrews Research Repository)
3517,2019,"Plymouth Marine Science Electronic Archive (The Marine Biological Association (MBA), Plymouth Marine Laboratory (PML) and the Sir Alister Hardy Foundation for Ocean Science (SAHFOS).)"
3519,2020,Management Science
3520,2020,Ulster University Research Portal (Ulster University)
3522,2019,Environmental Monitoring and Assessment
3524,2018,Journal of Destination Marketing & Management
3528,2018,Resources Policy
3536,2018,The Journal of Politics
3537,2018,Toulouse Capitole Publications (University Toulouse 1 Capitole)
3539,2019,Australian and International Journal of Rural Education
3541,2017,Space and Culture India
3542,2017,"Space and Culture, India (Alliance for Community Capacity Building)"
3550,2018,Soil Biology and Biochemistry
3552,2017,Gerontology and Geriatric Medicine
3555,2017,Florida International University Digital Commons (Florida International University)
3558,2018,Ecology Letters
3565,2018,Zenodo (CERN European Organization for Nuclear Research)
3566,2018,CORE Scholar (Wright State University)
3569,2017,Environmental Management and Sustainable Development
3570,2019,Philosophical Transactions of the Royal Society B Biological Sciences
3575,2017,Journal of the Academy of Nutrition and Dietetics
3579,2020,Proceedings of the National Academy of Sciences
3581,2020,Data Archiving and Networked Services (DANS)
3582,2020,Smith ScholarWorks (Smith College)
3583,2020,DIGITAL.CSIC (Spanish National Research Council (CSIC))
3586,2020,Aberdeen University Research Archive (Aberdeen University)
3588,2020,Cancer
3591,2019,Insectes Sociaux
3595,2018,Soil Science Society of America book series
3596,2020,Economic Development and Cultural Change
3597,2018,Political Geography
3599,2020,BMJ Open
3604,2021,PLoS neglected tropical diseases
3608,2018,Earth Surface Processes and Landforms
3612,2022,Hydrology and earth system sciences
3614,2022,VUBIR (Vrije Universiteit Brussel)
3615,2022,Lirias (KU Leuven)
3616,2022,Publication Database PIK (Potsdam Institute for Climate Impact Research (PIK))
3618,2020,Harvard Data Science Review
3622,2021,Marine Policy
3623,2021,INDIGO (University of Illinois at Chicago)
3626,2021,OSF Preprints (OSF Preprints)
3627,2018,Journal of Crop Improvement
3628,2019,Water Policy
3629,2018,Journal of Forestry
3632,2019,University of North Texas Digital Library (University of North Texas)
3636,2017,Economic Geography
3637,2017,ePrints Soton (University of Southampton)
3638,2017,Queen Mary Research Online (Queen Mary University of London)
3640,2021,Journal of Nutrition Education and Behavior
3642,2019,Water
3645,2019,CUNY Academic Works (City University of New York)
3647,2017,TigerPrints (Clemson University)
3650,2017,Journal of the Medical Library Association JMLA
3654,2017,PEARL (University of Plymouth)
3656,2017,Aquaculture Economics & Management
3663,2021,Frontiers in Climate
3666,2017,Regional Science and Urban Economics
3667,2017,Nottingham ePrints (University of Nottingham)
3668,2017,Repository@Nottingham (University of Nottingham)
3671,2018,Food Culture & Society
3672,2017,Journal of Transport & Health
3673,2017,Apollo (University of Cambridge)
3677,2018,Frontiers in Sustainable Food Systems
3679,2021,Apidologie
3681,2017,Advances in environmental microbiology
3685,2019,Journal of Cross-Cultural Gerontology
3688,2018,Journal of Wildlife Diseases
3690,2017,International Journal of Urban and Regional Research
3692,2019,Journal of Planning Education and Research
3700,2018,GeoJournal
3701,2017,Biogeochemistry
3705,2018,Homicide Studies
3707,2021,Prevention Science
3710,2019,Health Promotion Practice
3714,2017,Journalism & Mass Communication Quarterly
3715,2018,American Journal of Medical Quality
3718,2019,Annual Review of Resource Economics
3719,2019,Journal of Contemporary Water Research & Education
3728,2017,Atmospheric Research
3729,2017,NOAA Institutional Repository
3730,2018,Obesity
3731,2018,Deep Blue (University of Michigan)
3735,2020,Maternal and Child Nutrition
3740,2022,Digital Commons - URI (University of Rhode Island)
3748,2019,International Regional Science Review
3750,2020,The Annals of Family Medicine
3754,2022,Organic Farming
3756,2017,Rural Sociology
3757,2019,Oecologia
3760,2018,Journal of Environmental Studies and Sciences
3761,2017,Environmental Entomology
3763,2017,Preventive Medicine Reports
3769,2019,One Health
3773,2020,PLoS Pathogens
3777,2020,INDIGO (University of Illinois at Chicago)
3780,2017,Forest Policy and Economics
3781,2020,Psychiatric Services
3783,2018,Environment and Planning B Urban Analytics and City Science
3784,2022,MMWR Morbidity and Mortality Weekly Report
3787,2019,Radiation Oncology Journal
3791,2021,Applied Geography
3804,2017,Atmospheric Environment
3805,2018,Journal of Health and Social Behavior
3809,2019,Papers of the Regional Science Association
3822,2018,ISPRS International Journal of Geo-Information
3834,2020,Frontiers in Public Health
3837,2019,Ocean & Coastal Management
3841,2020,Environment and Development Economics
3847,2018,Chinese Journal of Population Resources and Environment
3848,2021,Forests
3854,2020,Routledge eBooks
3855,2020,BiblioBoard Library Catalog (Open Research Library)
3856,2020,OAPEN (The OAPEN Foundation)
3860,2018,Health Policy and Planning
3868,2020,MDPI (MDPI AG)
3871,2018,Environmental Entomology
3873,2017,Security Journal
3876,2021,Journal of Entomological Science
3878,2018,Northumbria Research Link (Northumbria University)
3879,2017,Contemporary Economic Policy
3883,2017,UpSpace Institutional Repository (University of Pretoria)
3887,2017,International Journal of Sustainable Development & World Ecology
3891,2017,OPAL (Open@LaTrobe) (La Trobe University)
3893,2018,Veterinary Sciences
3896,2018,ScholarWorks @ UTRGV (The University of Texas Rio Grande Valley)
3898,2017,Social Problems
3899,2017,Annual Review of Resource Economics
3901,2018,Northeastern Naturalist
3903,2019,Harvard Data Science Review
3904,2019,MADOC (University of Mannheim)
3905,2017,Urban Affairs Review
3906,2018,American Journal of Tropical Medicine and Hygiene
3911,2017,Spatial and Spatio-temporal Epidemiology
3913,2020,Forests
3914,2019,Urban Affairs Review
3915,2019,Digital Commons - URI (University of Rhode Island)
3916,2019,Public Health Nutrition
3919,2019,International Journal of Gastronomy and Food Science
3920,2019,Lung Cancer
3922,2017,The Journal of Real Estate Finance and Economics
3923,2019,BMC Pregnancy and Childbirth
3926,2017,The Professional Geographer
3927,2020,Urban forestry & urban greening
3928,2020,University of Groningen research database (University of Groningen / Centre for Information Technology)
3931,2018,Wiley Interdisciplinary Reviews Energy and Environment
3935,2019,SSM - Population Health
3940,2019,Journal of Food Protection
3942,2018,Review of Policy Research
3944,2019,Gynecologic Oncology
3947,2019,Carolina Digital Repository (University of North Carolina at Chapel Hill)
3949,2022,Review of Finance
3953,2018,European Financial Management
3957,2024,Journal of Applied Clinical Medical Physics
3960,2020,SSRN Electronic Journal
3974,2019,Atmosphere
3976,2019,Digital Commons - Michigan Tech (Michigan Technological University)
3980,2017,Forest Ecology and Management
3984,2017,Infoscience (Ecole Polytechnique Fédérale de Lausanne)
3988,2017,DataCite API
3989,2020,Ecology and Evolution
3992,2020,"MURAL - Maynooth University Research Archive Library (National University of Ireland, Maynooth)"
4003,2019,Public Health
4005,2019,Current Epidemiology Reports
4007,2018,Journal of Public Transportation
4010,2018,Imprensa de Ciências Sociais eBooks
4011,2018,Repositório da Universidade de Lisboa (University of Lisbon)
4012,2018,ARCA (Università Ca' Foscari Venezia)
4013,2024,Communications Earth & Environment
4019,2017,Environmental Monitoring and Assessment
4022,2017,Journal of Public Health Management and Practice
4024,2020,Annual Review of Animal Biosciences
4036,2019,European Economic Review
4040,2017,Aquatic Conservation Marine and Freshwater Ecosystems
4042,2018,Journal of Human Lactation
4053,2018,NERC Open Research Archive (Natural Environment Research Council)
4054,2022,Frontiers in Food Science and Technology
4055,2020,Neurology
4058,2017,American Journal of Preventive Medicine
4062,2019,American Journal of Health Behavior
4064,2020,Demographic Research
4068,2018,International Journal of Geographical Information Science
4069,2018,Vaccine
4079,2018,Transboundary and Emerging Diseases
4081,2017,Journal of Human Sciences and Extension
4085,2017,Liver Cancer
4091,2018,Urban Studies
4093,2018,Annals of the American Association of Geographers
4094,2018,Griffith Research Online (Griffith University)
4095,2017,Advances in spatial science
4096,2017,International Journal of Applied Geospatial Research
4097,2018,Biogeochemistry
4108,2017,Asian Anthropology
4114,2017,International Migration
4115,2018,Preventing Chronic Disease
4119,2018,Journal of Natural Resources Policy Research
4121,2017,Small Business Economics
4123,2017,Landscape Research
4135,2017,Journal of Environmental Planning and Management
4136,2019,The Journal of Asian Studies
4146,2018,Frontiers in Energy Research
4152,2017,Social policy report
4162,2019,Economics & Human Biology
4164,2017,Journal of Extreme Events
4167,2023,Viruses
4171,2018,Occupational and Environmental Medicine
4175,2020,The Science of The Total Environment
4177,2021,Aquaculture Economics & Management
4179,2020,Bulletin of the American Meteorological Society
4180,2018,Open Forum Infectious Diseases
4185,2018,Journal of Soils and Sediments
4186,2022,Zenodo (CERN European Organization for Nuclear Research)
4188,2017,BioControl
4195,2019,International Journal of Education Policy and Leadership
4196,2018,Nonprofit and Voluntary Sector Quarterly
4200,2017,The Journal of the Torrey Botanical Society
4202,2019,Statistical Journal of the IAOS
4209,2017,MMWR Morbidity and Mortality Weekly Report
4211,2021,Preventing Chronic Disease
4214,2021,Digital Commons@Becker (Washington University School of Medicine)
4216,2018,Local Government Studies
4217,2018,INDIGO (University of Illinois at Chicago)
4218,2018,Journal of Environmental Engineering
4219,2019,Politics & Society
4221,2019,Insects
4228,2022,JMIR Formative Research
4233,2018,SSM - Population Health
4240,2019,Journal of Forestry
4241,2017,Sociology of Education
4248,2019,Journal of Advanced Academics
4249,2022,Tobacco Control
4255,2022,The Lancet Planetary Health
4256,2022,Oxford University Research Archive (ORA) (University of Oxford)
4258,2022,St George's Online Research Archive (St George's University of London)
4261,2017,Social Science Quarterly
4262,2018,Energy Policy
4263,2019,Geomorphology
4264,2019,Review of Environmental Economics and Policy
4270,2019,Journal of Nutrition Education and Behavior
4274,2019,Leukemia & lymphoma/Leukemia and lymphoma
4279,2019,"2019 Annual Meeting, July 21-23, Atlanta, Georgia"
4284,2017,Politics and the Life Sciences
4286,2017,METRON
4287,2017,Agriculture & Food Security
4288,2020,Journal of Environmental Management
4291,2020,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
4294,2018,Project Muse (Johns Hopkins University)
4303,2020,Publius The Journal of Federalism
4304,2023,Agricultural & Environmental Letters
4305,2019,Research Policy
4306,2017,Maternal and Child Health Journal
4308,2018,American Economic Journal Economic Policy
4311,2020,Preventive Medicine Reports
4316,2017,"World Bank, Washington, DC eBooks"
4317,2017,The World Bank Open Knowledge Repository (World Bank)
4322,2017,Environment and Behavior
4323,2017,Mammal Study
4326,2017,Cancer Epidemiology
4328,2022,Population and Environment
4329,2019,Cancer Medicine
4353,2021,International Journal of Environmental Research and Public Health
4357,2018,American Journal of Community Psychology
4360,2019,Journal of Geophysical Research Atmospheres
4361,2017,Transboundary and Emerging Diseases
4363,2017,Trials
4367,2017,Oxford University Press eBooks
4368,2018,Environmental Pollution
4371,2017,GeoJournal
4374,2017,UA Campus Repository (The University of Arizona)
4376,2017,Archives of Environmental & Occupational Health
4380,2022,Journal of Contemporary Water Research & Education
4381,2017,Animal Behaviour
4387,2017,Substance Use & Misuse
4390,2017,Journal of Community Practice
4391,2022,Urban Informatics
4392,2017,Energy Policy
4393,2018,Transactions of the American Fisheries Society
4397,2019,"World Bank, Washington, DC eBooks"
4400,2017,Journal of Food Protection
4402,2019,Journal for Nature Conservation
4403,2018,South Asian Journal of Business Studies
4405,2017,Hydrological Sciences Journal
4408,2017,International Journal of Rural Criminology
4409,2017,The Knowledge Bank (The Ohio State University)
4410,2018,Biology Letters
4414,2019,Journal of Causal Inference
4415,2019,Open Research Exeter (University of Exeter)
4418,2021,Open Journal of Social Sciences
4423,2021,BMC Pregnancy and Childbirth
4429,2018,Environmental Science & Technology
4431,2018,Sociology of Development
4434,2018,Journal of International Migration and Integration / Revue de l integration et de la migration internationale
4436,2017,International Journal of Epidemiology
4440,2017,The Lancet Oncology
4442,2017,Economics of Disasters and Climate Change
4443,2017,Atmospheric chemistry and physics
4447,2020,Global Change Biology
4448,2020,UWA Profiles and Research Repository (University of Western Australia)
4451,2022,Ecological Processes
4456,2018,Political Research Quarterly
4461,2018,UpSpace Institutional Repository (University of Pretoria)
4467,2022,Annual Review of Economics
4470,2022,medRxiv (Cold Spring Harbor Laboratory)
4480,2020,Journal of Cleaner Production
4481,2019,Open Information Science
4483,2022,Journal of Thoracic Disease
4486,2019,Theory & Practice in Rural Education
4493,2019,ScholarWorks -A service of University of Vermont Libraries (University of Vermont)
4500,2017,Journal of Environmental Protection
4501,2017,Kidney International Reports
4513,2023,npj Science of Food
4516,2018,Analytic Methods in Accident Research
4517,2018,STARS (University of Central Florida)
4518,2019,Environmental Management
4520,2017,Journal of Consumer Policy
4523,2019,Nursing Clinics of North America
4525,2018,Journal of Food Products Marketing
4526,2021,Agronomy Journal
4527,2021,Rowan Digitals Works (Rowan University)
4529,2019,Acta Oncologica
4531,2019,Agricultural Sciences
4532,2020,Preventing Chronic Disease
4536,2018,Journal of Crime and Justice
4537,2017,American Journal of Community Psychology
4544,2019,Journal of the American Statistical Association
4546,2021,Tobacco Induced Diseases
4550,2017,Crop Forage & Turfgrass Management
4556,2017,Cancer
4559,2020,BMC Public Health
4569,2019,International Journal of Sustainable Development and Planning
4573,2021,Urban Ecosystems
4574,2022,Working paper
4575,2022,Upjohn Research (W.E. Upjohn Institute for Employment Research)
4577,2022,Econstor (Econstor)
4578,2023,Nature Water
4579,2021,Population and Environment
4580,2021,IIASA PURE (International Institute of Applied Systems Analysis)
4581,2019,Socio-Ecological Practice Research
4582,2021,Journal of Neurosciences in Rural Practice
4587,2019,Global Food Security
4588,2022,Renewable Agriculture and Food Systems
4590,2018,Geographical Journal
4591,2017,World Trade Review
4598,2020,Environmental Monitoring and Assessment
4602,2018,PLoS Computational Biology
4605,2018,Dépôt institutionnel de l'Université libre de Bruxelles (Université Libre de Bruxelles)
4608,2018,JAAPA
4615,2021,Frontiers in Public Health
4619,2020,Limnology and Oceanography Bulletin
4620,2021,Mathematics
4624,2019,Regional Studies
4625,2019,Environmental Earth Sciences
4627,2017,Routledge eBooks
4636,2019,BOK:ePub (Universitätsbibliothek der Universität f Bodenkultur Wien)
4638,2023,JAMA Network Open
4641,2019,Genealogy
4643,2020,Journal of Agricultural and Environmental Ethics
4644,2020,Leiden Repository (Leiden University)
4649,2017,Pediatrics International
4651,2021,People and Nature
4653,2019,Annual Review of Anthropology
4659,2017,Community Dentistry And Oral Epidemiology
4660,2017,Purdue University Indianapolis (Indiana University)
4670,2017,BMJ Open
4678,2017,Sussex Research Online (University of Sussex)
4684,2022,PLoS ONE
4691,2021,Sustainability
4694,2021,Journal of money credit and banking
4696,2021,Publication Server of Goethe University Frankfurt am Main (Goethe University Frankfurt)
4700,2018,Acta Oecologica
4705,2018,Child Indicators Research
4706,2017,Journal of Applied Meteorology and Climatology
4709,2019,Baylor University Medical Center Proceedings
4715,2020,University of North Texas Digital Library (University of North Texas)
4718,2019,Journal of Land Use Science
4719,2022,Frontiers in Energy Research
4722,2018,Peace Economics Peace Science and Public Policy
4723,2017,Lecture notes in computer science
4726,2021,Journal of Exposure Science & Environmental Epidemiology
4740,2017,Journal of Clinical Psychology in Medical Settings
4746,2017,Politics & Society
4747,2017,KOPS (University of Konstanz)
4748,2017,Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences)
4749,2017,Statistics in Medicine
4753,2017,Food and Foodways
4754,2018,Academic Pediatrics
4760,2021,International Economic Review
4763,2021,Warwick Research Archive Portal (University of Warwick)
4767,2022,AIDS and Behavior
4770,2022,Insects
4774,2020,Public Health Nutrition
4780,2022,Journal of Applied Communications
4782,2018,Hydrological Processes
4784,2019,Journal of General Internal Medicine
4787,2017,American Journal of Political Science
4790,2021,Food Security
4794,2019,Community Development
4795,2020,npj Digital Medicine
4801,2017,Forests
4804,2017,School Mental Health
4805,2018,Earth System Dynamics
4809,2023,ISPRS International Journal of Geo-Information
4810,2018,Natural Hazards Review
4811,2019,Health Equity
4815,2018,GIScience & Remote Sensing
4818,2018,Sociological Inquiry
4823,2022,Frontiers in Public Health
4831,2021,NeoBiota
4834,2018,Historical Studies in the Natural Sciences
4835,2023,Cureus
4838,2022,International Journal of Environmental Research and Public Health
4842,2022,Journal of Cleaner Production
4844,2017,Urban Science
4848,2019,Journal of Functional Foods
4851,2021,Injury Epidemiology
4860,2018,Human Dimensions of Wildlife
4861,2017,International Journal of Wildland Fire
4862,2023,Journal of Survey Statistics and Methodology
4863,2018,Ear and Hearing
4875,2023,Journal of General Internal Medicine
4882,2018,Ophthalmic Epidemiology
