year,"title"
2018,"Natural Resources Journal"
2018,"Nature"
2018,"Nature Communications"
2018,"Nature Environment and Pollution Technology"
2018,"Nature Sustainability"
2018,"Neighborhoods and Health"
2018,"Nelson Pediatric Symptom-Based Diagnosis"
2018,"NeoReviews"
2018,"Nervenheilkunde"
2018,"Neuro-Oncology"
2018,"Neurochemical Research"
2018,"Neuroscience Letters"
2018,"New England Journal of Medicine"
2018,"New Phytologist"
2018,"New Zealand Journal of Educational Studies"
2018,"New Zealand Journal of Psychology"
2018,"New Zealand Medical Journal"
2018,"New Zealand Plant Protection"
2018,"Nicotine and Tobacco Research"
2018,"Nicotinism and the Emerging Role of E-Cigarettes (With Special Reference to Adolescents)"
2018,"Nonprofit and Voluntary Sector Quarterly"
2018,"Northeastern Naturalist"
2018,"npj Biofilms and Microbiomes"
2018,"npj Digital Medicine"
2018,"npj Science of Food"
2018,"Nursing for Women's Health"
2018,"Nursing Forum"
2018,"Nursing Management"
2018,"Nursing Research"
2018,"Nursing Science Quarterly"
2018,"Nurturing Hope: Christian Pastoral Care in the Twenty-First Century"
2018,"Nutricion Hospitalaria"
2018,"Nutrient Cycling in Agroecosystems"
2018,"Nutrients"
2018,"Nutrition"
2018,"Nutrition and Diabetes"
2018,"Nutrition and Dietetics"
2018,"Nutrition and Food Science"
2018,"Nutrition Bulletin"
2018,"Nutrition in Clinical Practice"
2018,"Nutrition Journal"
2018,"Nutrition Research and Practice"
2018,"Nutrition Research Reviews"
2018,"Nutrition Reviews"
2018,"Nutrition Today"
2018,"Nutrition, Metabolism and Cardiovascular Diseases"
2018,"Obesity"
2018,"Obesity Surgery"
2018,"Ocean and Coastal Management"
2018,"Oceania"
2018,"Ochsner Journal"
2018,"Oeconomia Copernicana"
2018,"Oncology Nursing Forum"
2018,"Oncotarget"
2018,"Online Journal of Issues in Nursing"
2018,"Online Journal of Nursing Informatics"
2018,"Open Agriculture"
2018,"Organic Farming: Global Perspectives and Methods"
2018,"ORYX"
2018,"Osteoporosis International"
2018,"Otology and Neurotology"
2018,"Outlook on Agriculture"
2018,"Outlooks on Pest Management"
2018,"Ozone: Science and Engineering"
2018,"P and T"
2018,"Pakistan Journal of Commerce and Social Science"
2018,"Pakistan Journal of Medical and Health Sciences"
2018,"Papers in Applied Geography"
2018,"Papers Presented at the Annual Conference - Rural Electric Power Conference"
2018,"Parliamentary Affairs"
2018,"Pastoral Psychology"
2018,"Pathogens"
2018,"Pedagogies for Diverse Contexts"
2018,"Pediatric Surgery International"
2018,"Pediatric, Allergy, Immunology, and Pulmonology"
2018,"Pediatrics"
2018,"PeerJ"
2018,"Pennsylvania History"
2018,"Perma/Culture: Imagining Alternatives in an Age of Crisis"
2018,"Perspectives in Public Health"
2018,"Perspectives on Politics"
2018,"Pest Management Science"
2018,"Pharmacoepidemiology and Drug Safety"
2018,"Philippine Journal of Science"
2018,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences"
2018,"Physics Education Research Conference Proceedings"
2018,"Physiology and Behavior"
2018,"Phytopathology"
2018,"Place Branding and Public Diplomacy"
2018,"Placental and Gestational Pathology"
2018,"Planning Practice and Research"
2018,"Plant and Soil"
2018,"Plant Bioproducts"
2018,"Plant Biotechnology Journal"
2018,"Plant Breeding"
2018,"Plant Disease"
2018,"Plant Genome"
2018,"Plant Health Progress"
2018,"Plant Journal"
2018,"Plant Methods"
2018,"Plant Science"
2018,"Planta Daninha"
2018,"PLoS Medicine"
2018,"PLoS Neglected Tropical Diseases"
2018,"PLoS ONE"
2018,"Polar Biology"
2018,"Polar Geography"
2018,"Policing and Society"
2018,"Politics and the Life Sciences"
2018,"Population and Environment"
2018,"Population Health Management"
2018,"Population Research and Policy Review"
2018,"Population Review"
2018,"Population, Space and Place"
2018,"Postharvest Biology and Nanotechnology of Fruits, Vegetables and Flowers"
2018,"Postharvest Biology and Technology"
2018,"Potravinarstvo Slovak Journal of Food Sciences"
2018,"Poultry Science"
2018,"Practical Radiation Oncology"
2018,"Precision Agriculture"
2018,"Precision Agriculture Basics"
2018,"Precision Conservation: Goespatial Techniques for Agricultural and Natural Resources Conservation"
2018,"Preventing Chronic Disease"
2018,"Preventive Medicine"
2018,"Preventive Medicine Reports"
2018,"Preventive Veterinary Medicine"
2018,"Prison Journal"
2018,"Proceedings - 2018 International Conference on Computational Science and Computational Intelligence, CSCI 2018"
2018,"Proceedings - 21st Euromicro Conference on Digital System Design, DSD 2018"
2018,"Proceedings of Spatial Accuracy 2018"
2018,"Proceedings of SPIE - The International Society for Optical Engineering"
2018,"Proceedings of the 2nd World Conference on Smart Trends in Systems, Security and Sustainability, WorldS4 2018"
2018,"Proceedings of the 31st International Business Information Management Association Conference, IBIMA 2018: Innovation Management and Education Excellence through Vision 2020"
2018,"Proceedings of the 5th Workshop on Computational Linguistics and Clinical Psychology: From Keyboard to Clinic, CLPsych 2018 at the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL-HTL 2018"
2018,"Proceedings of the ACM on Human-Computer Interaction"
2018,"Proceedings of the ACMSE 2018 Conference"
2018,"Proceedings of the Annual Hawaii International Conference on System Sciences"
2018,"Proceedings of the IEEE"
2018,"Proceedings of the Institution of Civil Engineers: Forensic Engineering"
2018,"Proceedings of the International Conference on Industrial Engineering and Operations Management"
2018,"Proceedings of the National Academy of Sciences of the United States of America"
2018,"Proceedings of the Nutrition Society"
2018,"Professional Animal Scientist"
2018,"Professional Case Management"
2018,"Professional Geographer"
2018,"Professional Issues in Nursing: Challenges and Opportunities: Fifth Edition"
2018,"Professional Psychology: Research and Practice"
2018,"Progress in Community Health Partnerships: Research, Education, and Action"
2018,"Progress in Nutrition"
2018,"Progress in Physical Geography"
2018,"Psychiatric Quarterly"
2018,"Psychiatric Services"
2018,"Psychiatry and Neuroscience Update: From Translational Research to a Humanistic Approach: Volume III"
2018,"Psychology and Sexuality"
2018,"Psychosomatic Medicine"
2018,"Public Health"
2018,"Public Health Nursing"
2018,"Public Health Nutrition"
2018,"Public Health Reports"
2018,"Public Libraries in the Smart City"
2018,"Qualitative Health Research"
2018,"Qualitative Report"
2018,"Qualitative Sociology"
2018,"Quality - Access to Success"
2018,"Quality and Quantity"
2018,"Quality in Ageing and Older Adults"
2018,"Quality of Life Research"
2018,"Quality Spine Care: Healthcare Systems, Quality Reporting, and Risk Adjustment"
2018,"Quantitative Marketing and Economics"
2018,"Queensland Review"
2018,"Race and Human Diversity: A Biocultural Approach"
2018,"Race, Place, and Environmental Justice after Hurricane Katrina: Struggles to Reclaim, Rebuild, and Revitalize New Orleans and the Gulf Coast"
2018,"RAE Revista de Administracao de Empresas"
2018,"RAND Journal of Economics"
2018,"Rangeland Ecology and Management"
2018,"Rangeland Journal"
2018,"Rangelands"
2018,"Reclaiming Indigenous Research in Higher Education"
2018,"Regional Environmental Change"
2018,"Regional Science and Urban Economics"
2018,"Regional Science Policy and Practice"
2018,"Regional Studies"
2018,"Regulatory Toxicology and Pharmacology"
2018,"Remote Sensing"
2018,"Remote Sensing of Environment"
2018,"Renewable Agriculture and Food Systems"
2018,"Renewable and Sustainable Energy Reviews"
2018,"Renewable Energy"
2018,"Renewable Energy: Four Volume Set"
2018,"Research and Practice in Intellectual and Developmental Disabilities"
2018,"Research Ethics"
2018,"Research in Gerontological Nursing"
2018,"Research in Human Development"
2018,"Research in Political Economy"
2018,"Research in Political Sociology"
2018,"Research in Social Stratification and Mobility"
2018,"Research Methods in Physical Activity and Health"
2018,"Research on Economic Inequality"
2018,"Research Policy"
2018,"Resilience and Health: A Potent Dynamic"
2018,"Resource and Energy Economics"
2018,"Resources"
2018,"Resources Policy"
2018,"Resources, Conservation and Recycling"
2018,"Restoration Ecology"
2018,"Review of Development Economics"
2018,"Review of Economics of the Household"
2018,"Review of Income and Wealth"
2018,"Review of International Political Economy"
2018,"Reviews on Environmental Health"
2018,"Revista Brasileira de Ciencias Sociais"
2018,"Revista Brasileira de Fruticultura"
2018,"Revista Chilena de Nutricion"
2018,"Revista de Nutricao"
2018,"Revista Ecuatoriana de Neurologia"
2018,"Revista Espanola de Sociologia"
2018,"Revista Panamericana de Salud Publica/Pan American Journal of Public Health"
2018,"Risk Analysis"
2018,"Risks"
2018,"Rivista degli Studi Orientali"
2018,"Routledge Handbook of Food as a Commons"
2018,"Routledge Handbook of Landscape and Food"
2018,"Routledge Handbook of Landscape Character Assessment: Current Approaches to Characterisation and Assessment"
2018,"Routledge Handbook of Sustainability Indicators"
2018,"Routledge Handbook of Urbanization in Southeast Asia"
2018,"Routledge International Handbook of Cosmopolitanism Studies: 2nd edition"
2018,"Royal Society Open Science"
2018,"RSF"
2018,"Rural and Remote Health"
2018,"Rural Communities: Legacy + Change"
2018,"Rural Nursing, Fifth Edition: Concepts, Theory, and Practice"
2018,"Rural Society"
2018,"Rural Sociology"
2018,"Rural Special Education Quarterly"
2018,"SAGE Open"
2018,"Salud Mental"
2018,"Salud Publica de Mexico"
2018,"Science Advances"
2018,"Science and Technology for the Built Environment"
2018,"Science of the Earth, Climate and Energy"
2018,"Science of the Total Environment"
2018,"Scientia Horticulturae"
2018,"Scientific African"
2018,"Scientific Reports"
2018,"Securing the 'Rice Bowl': China and Global Food Security"
2018,"Seminars in Oncology Nursing"
2018,"Seminars in Pediatric Surgery"
2018,"Sensors (Switzerland)"
2018,"Sex Roles"
2018,"Sexually Transmitted Diseases"
2018,"Sexually Transmitted Infections"
2018,"Sleep"
2018,"Sleep and Biological Rhythms"
2018,"Smart and Sustainable Built Environment"
2018,"Smart Ceramics: Preparation, Properties, and Applications"
2018,"Social Capital and Enterprise in the Modern State"
2018,"Social Currents"
2018,"Social Enterprise Journal"
2018,"Social Forces"
2018,"Social Indicators Research"
2018,"Social Isolation of Older Adults: Strategies to Bolster Health and Well-Being"
2018,"Social Pathways to Health Vulnerability: Implications for Health Professionals"
2018,"Social Problems"
2018,"Social Science and Medicine"
2018,"Social Science Quarterly"
2018,"Social Science Research"
2018,"Social Sciences"
2018,"Social Work (United States)"
2018,"Social Work and Social Theory 2e: Making connections"
2018,"Social Work and Society"
2018,"Social Work Education"
2018,"Social Work in Mental Health"
2018,"Social Work in Public Health"
2018,"Social Work Research"
2018,"Societies"
2018,"Society and Animals"
2018,"Society and Economy"
2018,"Society and Natural Resources"
2018,"Sociological Focus"
2018,"Sociological Quarterly"
2018,"Sociology"
2018,"Sociology of Race and Ethnicity"
2018,"Soil and Tillage Research"
2018,"Soil Management and Greenhouse Effect"
2018,"Soil Science and Plant Nutrition"
2018,"Soil Science Society of America Journal"
2018,"Soil Systems"
2018,"Soil Use and Management"
2018,"Sorghum and Millets: Chemistry, Technology, and Nutritional Attributes"
2018,"South African Journal of Agricultural Extension"
2018,"South African Journal of Botany"
2018,"Southeastern Geographer"
2018,"Southern Hemisphere Ethnographies of Space, Place, and Time"
2018,"Spatial and Spatio-temporal Epidemiology"
2018,"Springer Proceedings in Mathematics and Statistics"
2018,"SpringerBriefs in Public Health"
2018,"SSM - Population Health"
2018,"Stanford Law Review"
2018,"State and Rural Class Formation in Ghana: A Comparative Analysis"
2018,"Structural Interventions for HIV Prevention: Optimizing Strategies for Reducing New Infections and Improving Care"
2018,"Studies in Agricultural Economics"
2018,"Studies in Health Technology and Informatics"
2018,"Studies in Pacific History: Economics, Politics, and Migration"
2018,"Studies on Russian Economic Development"
2018,"Substance Abuse"
2018,"Substance Use and Misuse"
2018,"Sustainability (Switzerland)"
2018,"Sustainability Science"
2018,"Sustainable Food and Agriculture: An Integrated Approach"
2018,"Sustainable Food Waste-to-Energy Systems"
2018,"Sustainable Management of Arthropod Pests of Tomato"
2018,"Sustainable Meat Production and Processing"
2018,"Sustainable Nation: Urban Design Patterns for the Future"
2018,"Swaziland: Contemporary Social and Economic Issues"
2018,"Teaching with DBQs: Helping Students Analyze Nonfiction and Visual Texts"
2018,"Technical Communication Quarterly"
2018,"Texas Heart Institute Journal"
2018,"That All May Flourish: Comparative Religious Environmental Ethics"
2018,"The Backbone of Europe: Health, Diet, Work, and Violence over Two Millennia"
2018,"The Cambridge Handbook of Applied Psychological Ethics"
2018,"The Cambridge Handbook of Social Problems"
2018,"The Cambridge Handbook of the Global Work–Family Interface"
2018,"The Cultural Turn in International Aid: Impacts and Challenges for Heritage and the Creative Industries"
2018,"The Earth is not for Sale: A Path Out of Fossil Capitalism to the Other World that is Still Possible"
2018,"The Economics of Emergency Food Aid Provision: A Financial, Social and Cultural Perspective"
2018,"The Economy of Ghana: 50 Years of Economic Development"
2018,"The Environmental Crunch in Africa: Growth Narratives vs. Local Realities"
2018,"The Farm Labor Problem: A Global Perspective"
2018,"The Financialization of Agri-Food Systems: Contested Transformations"
2018,"The Global Age-Friendly Community Movement: A Critical Appraisal"
2018,"The Hague Journal of Diplomacy"
2018,"The Handbook of Contemporary Indigenous Architecture"
2018,"The Lancet Psychiatry"
2018,"The New Generation of Computable General Equilibrium Models: Modeling the Economy"
2018,"The Oxford Handbook of American Economic History"
2018,"The Oxford Handbook of Food Ethics"
2018,"The Oxford Handbook of U.S. Education Law"
2018,"The Palgrave Handbook of Criminology and the Global South"
2018,"The Palgrave Handbook of Global Citizenship and Education"
2018,"The Palgrave Handbook of Sustainability: Case Studies and Practical Solutions"
2018,"The Role of Livestock in Agricultural Development: Theoretical Approaches and their Application in the Case of Sri Lanka"
2018,"The Role of Photosynthetic Microbes in Agriculture and Industry"
2018,"The Routledge Handbook of Agricultural Economics"
2018,"The Routledge Handbook of Business Events"
2018,"The Routledge Handbook of Green Social Work"
2018,"The Routledge Handbook of Spanish as a Heritage Language"
2018,"The Science of Strategic Conservation: Protecting More with Less"
2018,"The Violence Within: Cultural and Political Opposition in Divided Nations"
2018,"The Welfare of Cattle"
2018,"The Wetland Book: I: Structure and Function, Management, and Methods"
2018,"Theoretical and Applied Genetics"
2018,"Tobacco Control"
2018,"Tobacco Science and Technology"
2018,"Topics in Clinical Nutrition"
2018,"Tourism and Hospitality Research"
2018,"Tourism Economics"
2018,"Tourism Review"
2018,"Toxins"
2018,"Traditional Ecological Knowledge: Learning from Indigenous Practices for Environmental Sustainability"
2018,"Traffic Injury Prevention"
2018,"Transactions of the ASABE"
2018,"Transboundary and Emerging Diseases"
2018,"Transfers"
2018,"Translational Animal Science"
2018,"Translational Lung Cancer Research"
2018,"Transport Policy"
2018,"Transport Revolutions: Moving People and Freight without Oil"
2018,"Transportation Research Board - Special Report"
2018,"Transportation Research Part C: Emerging Technologies"
2018,"Transportation Research Part D: Transport and Environment"
2018,"Transportation Research Part F: Traffic Psychology and Behaviour"
2018,"Transportation Research Record"
2018,"Transportation Science"
2018,"Trees - Structure and Function"
2018,"Trends in Food Science and Technology"
2018,"Tropical Medicine and Infectious Disease"
2018,"Tropical Plant Pathology"
2018,"Under The Blade: The Conversion Of Agricultural Landscapes"
2018,"Urban Eco-Communities in Australia: Real Utopian Responses to the Ecological Crisis or Niche Markets?"
2018,"Urban Ecosystems"
2018,"Urban Policy and Research"
2018,"Urban Studies"
2018,"Urologic Oncology: Seminars and Original Investigations"
2018,"USDA Forest Service - General Technical Report RMRS-GTR"
2018,"Utilities Policy"
2018,"Vaccine"
2018,"Vascular Medicine (United Kingdom)"
2018,"Veterinary Medicine International"
2018,"Veterinary Parasitology"
2018,"Veterinary Parasitology: Regional Studies and Reports"
2018,"Virtual and Augmented Reality: Concepts, Methodologies, Tools, and Applications"
2018,"Vulnerable Children and Youth Studies"
2018,"Waste and Biomass Valorization"
2018,"Waste Management"
2018,"Water (Switzerland)"
2018,"Water Alternatives"
2018,"Water Economics and Policy"
2018,"Water International"
2018,"Water Research"
2018,"Water Resources and Economics"
2018,"Water Resources Management"
2018,"Water Resources Research"
2018,"Water Science and Technology"
2018,"Water, Air, and Soil Pollution"
2018,"Weather, Climate, and Society"
2018,"Weed Science"
2018,"Weed Technology"
2018,"Welfare Programs and Policies: An Overview and Issues for Congress"
2018,"Western Journal of Emergency Medicine"
2018,"Western Journal of Nursing Research"
2018,"Wetlands Ecology and Management"
2018,"Who Knew?: Inside the Complexity of American Health Care"
2018,"Whooping Cranes: Biology and Conservation Biodiversity of the World: Conservation from Genes to Landscapes"
2018,"Whooping Cranes: Biology and Conservation: Biodiversity of the World: Conservation from Genes to Landscapes"
2018,"Wildlife Society Bulletin"
2018,"Wiley Interdisciplinary Reviews: Climate Change"
2018,"Wiley Interdisciplinary Reviews: Energy and Environment"
2018,"Willard and Spackmans Occupational Therapy, 13th Edition"
2018,"Wine Globalization: A New Comparative History"
2018,"WIT Transactions on Ecology and the Environment"
2018,"WIT Transactions on the Built Environment"
2018,"Woman in Russian Society"
2018,"Women's Health Issues"
2018,"Women's Studies International Forum"
2018,"Work, Love, and Learning in Utopia: Equality Reimagined"
2018,"Work, Working and Work Relationships in a Changing World"
2018,"Workplace Health and Safety"
2018,"World Development"
2018,"World Economy"
2018,"World Environmental and Water Resources Congress 2018: Watershed Management, Irrigation and Drainage, and Water Resources Planning and Management - Selected Papers from the World Environmental and Water Resources Congress 2018"
2018,"World Mycotoxin Journal"
2018,"World Patent Information"
2018,"World Scientific Handbook in Financial Economics Series"
2018,"World Seas: An Environmental Evaluation Volume I: Europe, the Americas and West Africa"
2018,"World Sustainability Series"
2018,"World Trade Review"
2018,"Youth, Technology, Governance, Experience: Adults Understanding Young People"
2018,"Yuzuncu Yil University Journal of Agricultural Sciences"
2018,"Zeitschrift fur Wirtschaftsgeographie"
2018,"Zoonoses and Public Health"
2018,"Zygon"
2019,"1st International Conference on Robotics, Electrical and Signal Processing Techniques, ICREST 2019"
2019,"2019 8th International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2019"
2019,"2019 ASABE Annual International Meeting"
2019,"2019 IEEE 6th International Conference on Industrial Engineering and Applications, ICIEA 2019"
2019,"2019 IEEE Global Humanitarian Technology Conference, GHTC 2019"
2019,"2019 IEEE International Symposium on Technologies for Homeland Security, HST 2019"
2019,"2019 International Annual Conference Proceedings of the American Society for Engineering Management and 40th Meeting Celebration: A Systems Approach to Engineering Management Solutions, ASEM 2019"
2019,"21st IAPRI World Conference on Packaging 2018 - Packaging: Driving a Sustainable Future"
2019,"27th Signal Processing and Communications Applications Conference, SIU 2019"
2019,"40th International Conference on Information Systems, ICIS 2019"
2019,"91st Annual Water Environment Federation Technical Exhibition and Conference, WEFTEC 2018"
2019,"A Future of Polycentric Cities: How Urban Life, Land Supply, Smart Technologies and Sustainable Transport Are Reshaping Cities"
2019,"A Roadmap to Reducing Child Poverty"
2019,"Absolute Poverty in Europe: Interdisciplinary Perspectives on a Hidden Phenomenon"
2019,"Academic Emergency Medicine"
2019,"Academic Medicine"
2019,"Academic Pediatrics"
2019,"Accident Analysis and Prevention"
2019,"ACM International Conference Proceeding Series"
2019,"ACM Transactions on Economics and Computation"
2019,"ACM Transactions on Information Systems"
2019,"ACS Catalysis"
2019,"ACS Central Science"
2019,"ACS Sustainable Chemistry and Engineering"
2019,"ACS Symposium Series"
2019,"Acta Horticulturae"
2019,"Acta Scientiarum Polonorum, Hortorum Cultus"
2019,"Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis"
2019,"Activities, Adaptation and Aging"
2019,"Addiction"
2019,"Addictive Behaviors"
2019,"Adolescent Health Screening: An Update in the Age of Big Data"
2019,"Advances in African Economic, Social and Political Development"
2019,"Advances in Agronomy"
2019,"Advances in Botanical Research"
2019,"Advances in Gender Research"
2019,"Advances in Global Change Research"
2019,"Advances in Nursing Science"
2019,"Advances in Nutrition"
2019,"Advances in Pediatrics"
2019,"Advances in Plant Breeding Strategies: Legumes"
2019,"Advances in Questionnaire Design, Development, Evaluation and Testing"
2019,"Advances in Water Resources"
2019,"Advancing Climate Change Research in West Africa: Trends, Impacts, Vulnerability, Resilience, Adaptation and Sustainability Issues"
2019,"Adverse Childhood Experiences: Using Evidence to Advance Research, Practice, Policy, and Prevention"
2019,"African Economic Development"
2019,"African Food Systems in Crisis: Part Two: Contending with Change: Volume 10"
2019,"African Journal of Agricultural and Resource Economics"
2019,"African Journal of Food, Agriculture, Nutrition and Development"
2019,"African Renaissance"
2019,"Ageing and Society"
2019,"Aging and Mental Health"
2019,"Agrekon"
2019,"Agribusiness"
2019,"Agribusiness: An International Perspective"
2019,"Agricultural and Environmental Letters"
2019,"Agricultural and Food Economics"
2019,"Agricultural and Forest Entomology"
2019,"Agricultural and Forest Meteorology"
2019,"Agricultural and Resource Economics Review"
2019,"Agricultural Change: Consequences for Southern Farms and Rural Communities"
2019,"Agricultural Depression in the 1920's: Economic Fact or Statistical Artifact?"
2019,"Agricultural Economics (Czech Republic)"
2019,"Agricultural Economics (United Kingdom)"
2019,"Agricultural Economics Review"
2019,"Agricultural Engineering International: CIGR Journal"
2019,"Agricultural Finance Review"
2019,"Agricultural Productivity in the Socialist Countries"
2019,"Agricultural Research"
2019,"Agricultural Resilience: Perspectives from Ecology and Economics"
2019,"Agricultural Systems"
2019,"Agricultural Transformation in Nepal: Trends, Prospects, and Policy Options"
2019,"Agricultural Water Management"
2019,"Agriculture (Switzerland)"
2019,"Agriculture and Community Change in the U.S.: The Congressional Research Reports"
2019,"Agriculture and Human Values"
2019,"Agriculture In Third Wrl/h"
2019,"Agriculture Innovation Systems in Asia: Towards Inclusive Rural Development"
2019,"Agriculture, Ecosystems and Environment"
2019,"Agris On-line Papers in Economics and Informatics"
2019,"Agrivita"
2019,"Agrociencia"
2019,"Agroecology and Sustainable Food Systems"
2019,"Agroforestry Systems"
2019,"Agronomia Mesoamericana"
2019,"Agronomic Crops: Volume 1: Production Technologies"
2019,"Agronomic Crops: Volume 2: Management Practices"
2019,"Agronomy"
2019,"Agronomy Journal"
2019,"Agrosystems, Geosciences and Environment"
2019,"AHURI Final Report"
2019,"AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV"
2019,"AIMS Public Health"
2019,"AJP Reports"
2019,"AlterNative"
2019,"AMA Journal of Ethics"
2019,"Ambio"
2019,"American Economic Journal: Applied Economics"
2019,"American Economic Journal: Economic Policy"
2019,"American Educational Research Journal"
2019,"American Journal of Agricultural Economics"
2019,"American Journal of Clinical Nutrition"
2019,"American Journal of Clinical Oncology: Cancer Clinical Trials"
2019,"American Journal of Community Psychology"
2019,"American Journal of Criminal Justice"
2019,"American Journal of Economics and Sociology"
2019,"American Journal of Emergency Medicine"
2019,"American Journal of Enology and Viticulture"
2019,"American Journal of Epidemiology"
2019,"American Journal of Health Behavior"
2019,"American Journal of Health Education"
2019,"American Journal of Health Promotion"
2019,"American Journal of Industrial Medicine"
2019,"American Journal of Managed Care"
2019,"American Journal of Medicine"
2019,"American Journal of Nursing"
2019,"American Journal of Perinatology"
2019,"American Journal of Potato Research"
2019,"American Journal of Preventive Medicine"
2019,"American Journal of Public Health"
2019,"American Journal of Surgery"
2019,"American Journal of Tropical Medicine and Hygiene"
2019,"American Journal on Addictions"
2019,"American Malacological Bulletin"
2019,"American Midland Naturalist"
2019,"American Psychologist"
2019,"American Surgeon"
2019,"Amfiteatru Economic"
2019,"Analytica Chimica Acta"
2019,"Animal Biotelemetry"
2019,"Animal Production Science"
2019,"Animals"
2019,"Annals of Epidemiology"
2019,"Annals of Family Medicine"
2019,"Annals of Internal Medicine"
2019,"Annals of Leisure Research"
2019,"Annals of Public and Cooperative Economics"
2019,"Annals of Regional Science"
2019,"Annals of Surgery"
2019,"Annals of Surgical Oncology"
2019,"Annals of the American Academy of Political and Social Science"
2019,"Annals of the American Association of Geographers"
2019,"Annals of Tourism Research"
2019,"Annals of Work Exposures and Health"
2019,"Annual Review of Animal Biosciences"
2019,"Annual Review of Criminology"
2019,"Annual Review of Environment and Resources"
2019,"Annual Review of Law and Social Science"
2019,"Annual Review of Phytopathology"
2019,"Annual Review of Public Health"
2019,"Annual Review of Resource Economics"
2019,"Annual Review of Statistics and Its Application"
2019,"Antibiotics"
2019,"Antipode"
2019,"ANZ Journal of Surgery"
2019,"Apidologie"
2019,"Appalachia: A Regional Geography: Land, People, and Development"
2019,"Appetite"
2019,"Application of Nursing Informatics: Competencies, Skills, and Decision-Making"
2019,"Applied and Environmental Microbiology"
2019,"Applied Animal Science"
2019,"Applied Clinical Informatics"
2019,"Applied Developmental Science"
2019,"Applied Ecology and Environmental Research"
2019,"Applied Economic Perspectives and Policy"
2019,"Applied Economics"
2019,"Applied Economics Letters"
2019,"Applied Energy"
2019,"Applied Engineering in Agriculture"
2019,"Applied Geography"
2019,"Applied Nursing Research"
2019,"Applied Physiology, Nutrition and Metabolism"
2019,"Applied Science and Engineering Progress"
2019,"Aquaculture"
2019,"Aquaculture and Fisheries"
2019,"Aquaculture Economics and Management"
2019,"Arboriculture and Urban Forestry"
2019,"Archives Animal Breeding"
2019,"Archives of Clinical Neuropsychology"
2019,"Archives of Gerontology and Geriatrics"
2019,"Archives of Pathology and Laboratory Medicine"
2019,"Archives of Suicide Research"
2019,"Archivio di Studi Urbani e Regionali"
2019,"Archivos Latinoamericanos de Nutricion"
2019,"Arid Land Geography"
2019,"ARPN Journal of Engineering and Applied Sciences"
2019,"Arquivos Brasileiros de Cardiologia"
2019,"Asia and the Pacific Policy Studies"
2019,"Asia Pacific Journal of Clinical Nutrition"
2019,"Asia Pacific Journal of Health Management"
2019,"Asia-Pacific Journal of Teacher Education"
2019,"Asian American Journal of Psychology"
2019,"Asian and Pacific Migration Journal"
2019,"Asian Journal of Social Science"
2019,"Assistive Technology"
2019,"At the Interface: Probing the Boundaries"
2019,"Atmosphere"
2019,"Atmospheric Environment"
2019,"Atmospheric Pollution Research"
2019,"Australasian Journal of Paramedicine"
2019,"Australasian Journal on Ageing"
2019,"Australasian Review of African Studies"
2019,"Australasian Transport Research Forum, ATRF 2019 - Proceedings"
2019,"Australian and New Zealand Journal of Obstetrics and Gynaecology"
2019,"Australian and New Zealand Journal of Psychiatry"
2019,"Australian and New Zealand Journal of Public Health"
2019,"Australian Educational Researcher"
2019,"Australian English Reimagined: Structure, Features and Developments"
2019,"Australian Forestry"
2019,"Australian Geographer"
2019,"Australian Journal of Advanced Nursing"
2019,"Australian Journal of Agricultural and Resource Economics"
2019,"Australian Journal of Anthropology"
2019,"Australian Journal of Civil Engineering"
2019,"Australian Journal of Crop Science"
2019,"Australian Journal of Emergency Management"
2019,"Australian Journal of Forensic Sciences"
2019,"Australian Journal of General Practice"
2019,"Australian Journal of Indigenous Education"
2019,"Australian Journal of Linguistics"
2019,"Australian Journal of Primary Health"
2019,"Australian Journal of Rural Health"
2019,"Australian Journal of Social Issues"
2019,"Australian Prescriber"
2019,"Australian Review of Applied Linguistics"
2019,"Avian Conservation and Ecology"
2019,"Behavioral and Brain Sciences"
2019,"Behavioral Medicine"
2019,"Behaviour Change"
2019,"Beverages"
2019,"Beyond Language Learning Instruction: Transformative Supports for Emergent Bilinguals and Educators"
2019,"Big Data and Society"
2019,"Bio-based and Applied Economics"
2019,"Bioagro"
2019,"Bioarchaeology of Marginalized People"
2019,"Biocatalysis and Agricultural Biotechnology"
2019,"Biochemical and Cellular Archives"
2019,"Biodiesel Production: Technologies, Challenges, and Future Prospects"
2019,"Biodiversity and Conservation"
2019,"Bioeconomy for Sustainable Development"
2019,"Bioethics, Public Health, and the Social Sciences for the Medical Professions: An Integrated, Case-Based Approach"
2019,"Biofouling"
2019,"Biofuels for a More Sustainable Future: Life Cycle Sustainability Assessment and Multi-Criteria Decision Making"
2019,"Biofuels, Bioenergy and Food Security: Technology, Institutions and Policies"
2019,"Biofuels, Bioproducts and Biorefining"
2019,"Biogeochemistry"
2019,"Biological Agriculture and Horticulture"
2019,"Biological Conservation"
2019,"Biological Control"
2019,"Biomass and Bioenergy"
2019,"Biomass, Biopolymer-Based Materials, and Bioenergy: Construction, Biomedical, and other Industrial Applications"
