doi,"title",year
10.1111/csp2.522,"Understanding landowner decisions regarding access to private land for conservation research",2021
10.1111/jrh.12601,"Farm Dinner Theater: Testing an innovative health and safety intervention among older farmers and their families",2022
10.1111/jrh.12621,"Farm vehicle crashes on public roads: Analysis of farm-level factors",2022
10.1111/jrh.12692,"From believers to skeptics: Latent class analysis of COVID-19 protective practices and perceptions among agricultural community members",2023
10.1111/jrh.12764,"Stress and suicidal ideation among first-generation farmers: A cross-sectional study with 1,288 farmers in Georgia",2023
10.1111/jrh.12783,"Disordered alcohol and substance use in Irish farmers: A cross-sectional survey",2023
10.1021/acsagscitech.0c00039,"Greenhouse Gas Emissions and Global Warming Potential from a Woody Ornamental Production System Using a Soilless Growing Substrate",2021
10.1021/acsagscitech.2c00250,"The Shrinking Land Challenge",2023
10.1175/BAMS-D-20-0306.1,"The Manitoba Agriculture Mesonet Technical Overview",2021
10.1128/MICROBIOLSPEC.PFS-0022-2018,"Preharvest farming practices impacting fresh produce safety",2018
10.1128/Spectrum.00669-21,"Levels of salmonella enterica and listeria monocytogenes in alternative irrigation water vary based on water source on the eastern shore of Maryland",2021
10.2134/agronj2019.02.0118,"Climate warming trends in the U.S. midwest using four thermal models",2019
10.2134/agronj2018.09.0626,"Farmers as researchers: In-depth interviews to discern participant motivation and impact",2019
10.1002/agj2.20032,"Risk and returns from grazing beef cattle on warm-season grasses in Tennessee",2020
10.1002/agj2.20046,"Interseeding cover crops in corn",2020
10.1002/agj2.20001,"Cropping pattern changes diminish agroecosystem services in North and South Dakota, USA",2020
10.1002/agj2.20132,"Short-run net returns to a cereal rye cover crop mix in a midwest corn–soybean rotation",2020
10.1002/agj2.20162,"Diversifying cropping systems enhances productivity, stability, and nitrogen use efficiency",2020
10.1002/agj2.20108,"Modeling perennial groundcover effects on annual maize grain crop growth with the Agricultural Production Systems sIMulator",2020
10.1002/agj2.20146,"Soil test phosphorus and phosphorus balance trends: A county-level analysis in Ohio",2020
10.1002/agj2.20176,"Stacked crop rotations and cultural practices for canola and flax yield and quality",2020
10.1002/agj2.20208,"Soybean seeding rate and fertilizer effects on growth, partitioning, and yield",2020
10.1002/agj2.20213,"Soil-test biological activity with the flush of CO2: VI. Economics of optimized nitrogen inputs for corn",2020
10.1002/agj2.20248,"Ground-based optical canopy sensing technologies for corn–nitrogen management in the Upper Midwest",2020
10.1002/csc2.20152,"Genomic characterization of Ugandan smallholder farmer-preferred cassava varieties",2020
10.1002/ep.12726,"Food-energy-water nexus to mitigate sustainability challenges in a groundwater reliant agriculturally dominant environment (GRADE)",2018
10.1139/cjps-2016-0053,"Will summer fallow re-emerge in the dark brown soil zone of the Canadian prairie as a response to net return risk?",2017
10.1139/cjps-2016-0385,"Shaping Canadian agriculture — A reflection on the future role of agronomists in Canadian agriculture",2017
10.1139/cjps-2017-0079,"Effect of fertilizer and cropping system on grain nutrient concentrations in spring wheat",2017
10.1139/cjps-2016-0407,"Tillage and crop rotation effects on the yield of corn, soybean, and wheat in eastern Canada",2017
10.1139/CJPS-2017-0163,"Linuron-resistant common ragweed (Ambrosia artemisiifolia) populations in Québec carrot fields: Presence and distribution of target site and non-target site resistant biotypes",2017
10.1139/cjps-2017-0228,"Annual and perennial forages for fall/winter grazing in western Canada",2017
10.1139/cjps-2017-0223,"Linking management practices with range health in northern temperate pastures",2017
10.1139/cjps-2017-0313,"Response of sunflowers (Helianthus annuus L.) to varying seeding rates and nitrogen fertilizer rates in a no-till cropping system in saskatchewan",2018
10.1139/cjps-2018-0237,"Inter-row stubble seeding and plant growth regulators to improve field pea standability and production",2019
10.1139/cjps-2020-0321,"Import of palmer amaranth (Amaranthus palmeri s. wats.) seed with sweet potato (ipomoea batatas (L.) lam) slips",2021
10.1139/cjps-2022-0125,"Integration of perennial forage seed crops for cropping systems resiliency in the Peace River region of western Canada",2023
10.1139/CJPS-2022-0210,"Effects of soil water and nitrogen on drought resilience, growth, yield, and grain quality of a spring wheat",2023
10.1590/1678-4499.20220242,"Effects of temperatures on pollen germination and pollen tube growth in apple",2023
10.1016/j.jaridenv.2019.02.011,"The farm income and food security implications of adopting fertilizer micro-dosing and tied-ridge technologies under semi-arid environments in central Tanzania",2019
10.1016/j.jaridenv.2019.104096,"Land-cover changes and influences on playa wetland inundation on the Southern High Plains",2020
10.1016/j.jaridenv.2021.104532,"Habitat use and feeding behavior of domestic free-ranging goats in a seasonal tropical dry forest",2021
10.1016/j.jaridenv.2022.104922,"Economics of Raramuri Criollo and British crossbred cattle production in the Chihuahuan desert: Effects of foraging distribution and finishing strategy",2023
10.1016/j.jss.2021.11.018,"Agricultural Injury Surveillance Using a Regional Trauma Registry",2022
10.1016/j.ypmed.2020.106233,"Fatal farm injuries to Canadian children",2020
10.1094/PHP-02-20-0012-RS,"Efficacy of biological and conventional fungicide programs for foliar disease management on pomegranate (Punica granatum) in Florida",2020
10.1094/PHP-04-20-0024-RS,"Calonectria pseudonaviculata Conidia Dispersal and Implications for Boxwood Blight Management",2020
10.1094/PHP-07-21-0100-RS,"Differences in Susceptibility to Phomopsis Blight of Seven Eggplant Cultivars with Different Fruit Types",2022
10.1094/PHP-06-21-0091-RS,"Small-Scale Fungicide Delivery Equipment to Manage Early Blight in Three Types of Tomato",2022
10.1094/PHP-01-21-0015-RS,"Preliminary Study of Viruses Infecting Strawberry (Fragaria spp.) in the Midsouthern United States",2022
10.3390/horticulturae7040069,"Fruit yield and physicochemical quality evaluation of hybrid and grafted field-grown muskmelon in Pennsylvania",2021
10.3390/horticulturae7080216,"Disease susceptibility of interspecific cold-hardy grape cultivars in northeastern U.S.A",2021
10.1016/j.jenvp.2018.10.006,"Herbicide resistant weeds as place disruption: Their impact on farmers' attachment, interpretations, and weed management strategies",2018
10.1016/j.jenvman.2016.12.010,"Energy input in conventional and organic paddy rice production in Missouri and Italy: A comparative case study",2017
10.1016/j.jenvman.2016.12.024,"Effects of solid-liquid separation and storage on monensin attenuation in dairy waste management systems",2017
10.1016/j.jenvman.2017.02.019,"Carbon dynamics on agricultural land reverting to woody land in Ontario, Canada",2017
10.1016/j.jenvman.2017.03.066,"How hedge woody species diversity and habitat change is a function of land use history and recent management in a European agricultural landscape",2017
10.1016/j.jenvman.2017.03.059,"Nitrogen Source Inventory and Loading ToolAn integrated approach toward restoration of water-quality impaired karst springs",2017
10.1016/j.jenvman.2017.04.043,"Conservation program delivery in the southern U.S.: Preferences and interactions",2017
10.1016/j.jenvman.2017.06.022,"Assessing landowners’ attitudes toward wild hogs and support for control options",2017
10.1016/j.jenvman.2017.07.020,"Plot-, farm-, and watershed-scale effects of coffee cultivation in runoff and sediment production in western Puerto Rico",2017
10.1016/j.jenvman.2017.06.051,"Substituting freshwater: Can ocean desalination and water recycling capacities substitute for groundwater depletion in California?",2017
10.1016/j.jenvman.2017.07.077,"Grower networks support adoption of innovations in pollination management: The roles of social learning, technical learning, and personal experience",2017
10.1016/j.jenvman.2017.11.051,"Beyond the nutrient strategies: Common ground to accelerate agricultural water quality improvement in the upper Midwest",2018
10.1016/j.jenvman.2018.01.061,"Seeding plants for long-term multiple ecosystem service goals",2018
10.1016/j.jenvman.2018.03.111,"Performance of an under-loaded denitrifying bioreactor with biochar amendment",2018
10.1016/j.jenvman.2018.06.060,"Comparing adaptive capacity index across scales: The case of Italy",2018
10.1016/j.jenvman.2018.08.086,"Retention modes of manure-fecal coliforms in soil under saturated hydraulic condition",2018
10.1016/j.jenvman.2018.09.054,"Decision support tool: Mottled duck habitat management and conservation in the Western Gulf Coast",2019
10.1016/j.jenvman.2018.10.110,"Odorous compounds sources and transport from a swine deep-pit finishing operation: A case study",2019
10.1016/j.jenvman.2018.11.140,"Five financial incentives to revive the Gulf of Mexico dead zone and Mississippi basin soils",2019
10.1016/j.jenvman.2019.01.091,"Farmers’ perceptions of agricultural land use changes in Nepal and their major drivers",2019
10.1016/j.jenvman.2019.109421,"Potential efficiency gains in payment programs from resolving spatial and temporal heterogeneity in the cost of supplying forest carbon",2019
10.1016/j.jenvman.2019.109941,"Challenges for rotational grazing practice: Views from non-adopters across the Great Plains, USA",2020
10.1016/j.jenvman.2019.110040,"Economics of irrigation water conservation: Dynamic optimization for consumption and investment",2020
10.1016/j.jenvman.2020.110205,"Using cost-benefit analysis to understand adoption of winter cover cropping in California's specialty crop systems",2020
10.1016/j.jenvman.2020.110389,"Covering plastic films in greenhouses system: A GIS-based model to improve post use suistainable management",2020
10.1016/j.jenvman.2020.110333,"Reducing nitrogen control costs by within- and cross-county targeting",2020
10.1016/j.jenvman.2020.110967,"Model-driven spatial evaluation of nutrient recovery from livestock leachate for struvite production",2020
10.1016/j.jenvman.2020.111217,"Uncertainty analysis of the performance of a management system for achieving phosphorus load reduction to surface waters",2020
10.1016/j.jenvman.2020.111223,"Crop insurance: A barrier to conservation adoption?",2020
10.1016/j.jenvman.2020.111355,"What drives private landowner decisions? Exploring non-native grass management in the eastern Great Plains",2020
10.1016/j.jenvman.2020.111507,"Assessment of pyrethroid contamination and potential mitigation strategies in California Central Coast surface waters",2021
10.1016/j.jenvman.2021.112903,"Farmers’ adoption and perceived benefits of diversified crop rotations in the margins of U.S. Corn Belt",2021
10.1016/j.jenvman.2021.114053,"Stacked conservation practices reduce nitrogen loss: A paired watershed study",2022
10.1016/j.jenvman.2021.114330,"Water in the West: Trends, production efficiency, and a call for open data",2022
10.1016/j.jenvman.2022.114623,"Piecing together the data of the U.S. marine aquaculture puzzle",2022
10.1016/j.jenvman.2022.115186,"The gap between experts, farmers and non-farmers on perceived environmental vulnerability and the influence of values and beliefs",2022
10.1016/j.jenvman.2022.115334,"Using remote sensing to identify liquid manure applications in eastern North Carolina",2022
10.1016/j.jenvman.2022.115312,"A comparison of digestate management options at a large anaerobic digestion plant",2022
10.1016/j.jenvman.2022.116136,"Understanding farmers’ conservation behavior over time: A longitudinal application of the transtheoretical model of behavior change",2022
10.1016/j.jenvman.2022.116092,"Impacts of livestock grazing on the probability of burning in wildfires vary by region and vegetation type in California",2022
10.1016/j.jenvman.2022.116168,"The impact of cover crops on soil erosion in the US Midwest",2022
10.1016/j.jenvman.2022.116738,"Screening priority pesticides for drinking water quality regulation and monitoring by machine learning: Analysis of factors affecting detectability",2023
10.1016/j.jenvman.2022.116667,"What determines how green crop farming can get? Spatial factors or green awareness spillovers",2023
10.1016/j.jenvman.2022.117005,"Evaluation of phosphorus runoff from sandy soils under conservation tillage with surface broadcasted recovered phosphates",2023
10.1016/j.jenvman.2022.117135,"Amending woodchip bioreactors with corncobs reduces nitrogen removal cost",2023
10.1016/j.jenvman.2023.117386,"Water quality benefits of weather-based manure application timing and manure placement strategies",2023
10.1016/j.jenvman.2023.117724,"Ecosystem carbon and nitrogen gains following 27 years of grazing management in a semiarid alluvial valley",2023
10.1016/j.jenvman.2023.117946,"Sustainability of cover cropping practice with changing climate in Illinois",2023
10.1016/j.jenvman.2023.118483,"Farm impacts of the 2019 Missouri River floods and economic valuation of flood risk reduction",2023
10.1016/j.jenvman.2023.119213,"Grazing management impacts on ecosystem services under contrasting climatic conditions in Texas and North Dakota",2023
10.1016/j.envres.2017.07.037,"Swine exposure and methicillin-resistant Staphylococcus aureus infection among hospitalized patients with skin and soft tissue infections in Illinois: A ZIP code-level analysis",2017
10.1016/j.envres.2017.08.026,"Low-level arsenic exposure from drinking water is associated with prostate cancer in Iowa",2017
10.1016/j.envres.2017.08.023,"Livestock and poultry density and childhood cancer incidence in nine states in the USA",2017
10.1016/j.envres.2019.01.004,"Groundwater level changes with a focus on agricultural areas in the Mid-Atlantic region of the United States, 2002–2016",2019
10.1016/j.envres.2020.109773,"Association between private drinking water wells and the incidence of Campylobacteriosis in Maryland: An ecological analysis using Foodborne Diseases Active Surveillance Network (FoodNet) data (2007–2016)",2020
10.1128/mra.00443-22,"Virulence Potential of Escherichia coli Isolates from a Beef Farm in Puerto Rico",2022
10.14358/PERS.83.10.679,"Thematic accuracy of agriculture in land cover layers of select Virginia counties",2017
10.3098/ah.2017.091.3.320,"Workers' weed: Cannabis, sugar beets, and landscapes of labor in the American West, 1900-1946",2017
10.3098/ah.2020.094.1.004,"You're a Bigger Man: Technology and Agrarian Masculinity in Postwar America",2020
10.3098/AH.2020.094.4.629,"“The single most important factor”: Fossil fuel energy, groundwater, and irrigation on the high plains, 1955-1985",2020
10.1215/00021482-10009781,"Farm Crisis/Identity Crisis: Letters from 1980s Iowa",2022
10.13031/aim.202000753,"Perceptions of barriers and benefits of manure use in cropping systems",2020
10.13031/aim.2001256,"Yield recovery effects of autosteering in peanut digging",2020
10.13031/aim.202001437,"Evaluate the representativeness of the NAEMS air emission data for swine operations in a changing industry",2020
10.1016/j.biosystemseng.2018.01.011,"Test methods for characterising the water distribution from irrigation sprinklers: Design, evaluation and uncertainty analysis of an automated system",2018
10.1016/j.biosystemseng.2021.03.015,"On the power demands of accessories on an agricultural tractor",2021
10.1016/j.biosystemseng.2022.02.006,"Start and stop systems on agricultural tractors as solution for saving fuel and emissions",2022
10.1016/j.biosystemseng.2022.07.008,"Investigating the time-dependent dose–response relationship of ammonia emissions reduction through the application of a urease inhibitor in pig fattening houses",2022
10.1637/aviandiseases-D-20-00078,"Poultry Professionals' Perception of Participation in Voluntary Disease Mapping and Monitoring Programs in the United States: A Cluster Analysis",2021
10.1637/aviandiseases-D-21-00088,"Estimating Movement Rates between Eurasian and North American Birds That Are Vectors of Avian Influenza",2022
10.14504/ajr.8.2.6,"Serviceability assessment of a printed finish on t-shirts",2021
10.1021/acsomega.8b00045,"Hydrothermal Liquefaction of Loblolly Pine: Effects of Various Wastes on Produced Biocrude",2018
10.13031/aim.201900795,"Mission planning and ortho-mosaicking of UAS imagery for remote sensing in precision agriculture on winter wheat and a Subsurface Drip Irrigated (SDI) corn field",2019
10.13031/aim.201900572,"Improved ammonia emission inventory for poultry and swine production in North Carolina",2019
10.13031/aim.201901289,"Utilizing infrared radiometry thermometer and two source energy balance model for irrigation scheduling of dry edible beans in western Nebraska: Part 1. Experiment",2019
10.13031/aim.201901308,"Environmental footprint assessment of representative swine diets in the USA",2019
10.1128/AEM.02713-17,"Subtype-specific selection for resistance to fluoroquinolones but not to tetracyclines is evident in Campylobacter jejuni isolates from beef cattle in confined feeding operations in Southern Alberta, Canada",2018
10.1128/AEM.01220-19,"Molecular epidemiology of Xanthomonas perforans outbreaks in tomato plants from transplant to field as determined by singlenucleotide polymorphism analysis",2019
10.1128/AEM.02101-19,"Clinically Relevant Campylobacter jejuni Subtypes Are Readily Found and Transmitted within the Cattle Production Continuum but Present a Limited Foodborne Risk",2020
10.1128/AEM.00571-20,"Merging Metagenomics and Spatial Epidemiology To Understand the Distribution of Antimicrobial Resistance Genes from Enterobacteriaceae in Wild Owls",2020
10.1128/AEM.00211-21,"Enteric Viruses and Pepper Mild Mottle Virus Show Significant Correlation in Select Mid-Atlantic Agricultural Waters",2021
10.1128/AEM.00469-21,"High Genetic Diversity in Predominantly Clonal Populations of the Powdery Mildew Fungus Podosphaera leucotricha from U.S. Apple Orchards",2021
10.1021/acssuschemeng.9b00656,"Maximum CO2 Utilization by Nutritious Microalgae",2019
10.1021/acssuschemeng.9b03129,"Systems-Level Analysis of Phosphorus Flows in the Dairy Supply Chain",2019
10.1021/acssuschemeng.0c00704,"Poultry Waste Valorization via Pyrolysis Technologies: Economic and Environmental Life Cycle Optimization for Sustainable Bioenergy Systems",2020
10.1021/acssuschemeng.1c00776,"Rewiring the Domestic U.S. Rice Trade for Reducing Irrigation Impacts - Implications for the Food-Energy-Water Nexus",2021
10.1642/AUK-18-56.1,"Prevalent transoceanic fall migration by a 30-gram songbird, the Bobolink",2018
10.5324/eip.v14i1.3311,"Using Insights in Sen’s Capability Approach to Overcome Design and Execution Challenges in Empirical Development Ethics Research",2020
10.2174/1874331502014010098,"The current status and constraints of drought-tolerant Maize adoption in Uganda",2020
10.1257/aer.20170370,"An Estimated Structural Model of Entrepreneurial Behavior",2020
10.1094/PHYTO-04-17-0131-FI,"A framework for optimizing phytosanitary thresholds in seed systems",2017
10.1094/PHYTO-06-17-0212-R,"Succession of fungal and oomycete communities in glyphosate-killed wheat roots",2018
10.1094/PHYTO-10-17-0342-R,"Perceptions of midwestern crop advisors and growers on foliar fungicide adoption and use in maize",2018
10.1094/PHYTO-04-19-0113-R,"A spatiotemporal analysis and dispersal patterns of the potato cyst nematode globodera pallida in Idaho",2020
10.1094/PHYTO-01-20-0005-R,"Population genetic structure of claviceps purpurea in cool-season grass seed crops of Oregon",2020
10.1094/PHYTO-12-20-0544-R,"Perceived Vulnerability and Propensity to Adopt Best Management Practices for Huanglongbing Disease of Citrus in California",2021
10.1094/PHYTO-06-21-0244-R,"The Diversity of Passalora fulva Isolates Collected from Tomato Plants in U.S. High Tunnels",2022
10.1021/acsearthspacechem.8b00023,"Efficacy of a Wavelength-Scanned Cavity Ring-Down Spectroscopic Technique in Estimating Enteric Methane Emissions in Ruminants",2018
10.1016/j.pmpp.2023.102152,"Biogenic silica: A promoter of cell wall strengthening and induced resistance against sheath blight disease in rice via salicylic acid signaling and phenolic metabolism",2023
10.1139/cjss-2017-0061,"Influence of long-term feedlot manure amendments on soil hydraulic conductivity, water-stable aggregates, and soil thermal properties during the growing season",2018
10.1139/cjss-2019-0023,"Phosphorus accumulation in canadian agricultural soils over 30 yr",2019
10.1139/cjss-2019-0022,"Short-term legacy effects of feedlot manure amendments on earthworm abundance in a clay loam soil",2019
10.1139/cjss-2021-0187,"Adoption of beneficial management practices to improve soil health",2022
10.1139/cjss-2021-0161,"Identifying rotation and tillage practices that maintain or enhance soil carbon and its relation to soil health",2023
10.1139/cjss-2021-0154,"Improved parent material map disaggregation methods in the Saskatchewan prairies using historical bare soil composite imagery",2023
10.1021/bk-2018-1283.ch012,"Implementing pesticide use data and gis to improve treated area estimates in agricultural and residential exposure assessments",2018
10.1111/agec.12347,"The influence of proximity to market on bean producer prices in Nicaragua",2017
10.1111/agec.12368,"International research on vegetable improvement in East and Southern Africa: adoption, impact, and returns",2017
10.1111/agec.12429,"The economic impacts of technology and climate change: New evidence from U.S. corn yields",2018
10.1111/agec.12462,"The impacts of multiperil crop insurance on Indonesian rice farmers and production",2019
10.1111/agec.12501,"Adopting bioenergy crops: Does farmers’ attitude toward loss matter?",2019
10.1111/agec.12565,"Competitive forces affecting capacity decisions of South Dakota feedlot operations",2020
10.1111/agec.12575,"US agricultural exports and labor market adjustments",2020
10.1111/agec.12591,"Conservation practice complementarity and timing of on-farm adoption",2020
10.1111/agec.12635,"The susceptibility of farmland loans to default under falling farmland and commodity prices",2021
10.18697/AJFAND.84.BLFB1010,"The relevance of smallholder farming to african agricultural growth and development",2019
10.18697/AJFAND.84.BLFB1008,"Agricultural cooperative marketing and credit policy reform in Uganda: An opportunity for poverty reduction",2019
10.18697/AJFAND.90.18350,"Factors underlying consumers' choices of dry common beans in Dar es Salaam, Tanzania",2020
10.18697/ajfand.111.22065,"TRENDS AND CONSTRAINTS IN THE UTILIZATION OF AFRICAN NIGHTSHADE (Solanum nigrum complex) IN TANZANIA: A CASE STUDY OF KILIMANJARO AND MOROGORO REGIONS",2022
10.18697/ajfand.118.22290,"PARTIAL INTERMEDIARY VALUE-CHAIN COORDINATION AND ITS EFFECTS ON PRODUCTIVITY OF SWEET POTATO IN TANZANIA",2023
10.1021/acs.jafc.0c01422,"Multiclass, Multiresidue Method for the Quantification and Confirmation of 112 Veterinary Drugs in Game Meat (Bison, Deer, Elk, and Rabbit) by Rapid Polarity Switching Liquid Chromatography-Tandem Mass Spectrometry",2021
10.1175/WAF-D-22-0164.1,"Urban Warming Challenges Verification of Frost Advisories and Freeze Warnings in Madison, Wisconsin",2023
10.1007/s10722-022-01397-4,"Genotyping-by-sequencing of passion fruit (Passiflora spp.) generates genomic resources for breeding and systematics",2022
10.1007/s10722-022-01407-5,"An inventory of crop wild relatives of the Maltese Islands",2022
10.4289/0013-8797.123.1.206,"Behavior of the brown marmorated stink bug, halyomorpha halys (stal) (hemiptera: Pentatomidae), in the utah agricultural landscape based on trap captures and visual sampling studies",2021
10.4289/0013-8797.123.4.862,"First Record of Crapemyrtle Bark Scale (Hemiptera: Eriococcidae: Acanthococcus lagerstroemiae) from Pennsylvania",2022
10.1093/jssam/smab008,"Capture-Recapture Estimation of Characteristics of U.S. Local Food Farms Using a Web-Scraped List Frame",2022
10.1186/s12940-021-00787-y,"Climate change, extreme events, and increased risk of salmonellosis: foodborne diseases active surveillance network (FoodNet), 2004-2014",2021
10.1186/s12940-021-00775-2,"What agro-input dealers know, sell and say to smallholder farmers about pesticides: a mystery shopping and KAP analysis in Uganda",2021
10.1186/s12937-021-00709-1,"Impact of sociodemographic factors on the consumption of tubers in Brazil",2021
10.1094/PDIS-07-16-0975-RE,"Time interval between cover crop termination and planting influences corn seedling disease, plant growth, and yield",2017
10.1094/PDIS-12-16-1731-RE,"Sensitivity and efficacy of boscalid, fluazinam, and thiophanate-methyl for white mold control in snap bean in New York",2017
10.1094/pdis-03-18-0468-re,"Occurrence of Foliar Pathogens of Watermelon on Commercial Farms in South Carolina Estimated with Stratified Cluster Sampling",2018
10.1094/pdis-06-17-0926-re,"Spruce Decline and Diaporthe: Incidence, Taxonomy, Virulence, and Tree Susceptibility in Michigan",2018
10.1094/pdis-01-18-0077-re,"Genetic variation of the pathogen causing impatiens downy mildew predating and including twenty-first century epidemics on impatiens walleriana",2018
10.1094/PDIS-05-18-0826-RE,"Preventing soil inoculum of Calonectria pseudonaviculata from splashing onto healthy boxwood foliage by mulching",2019
10.1094/PDIS-03-19-0598-RE,"Characterization of Colletotrichum species causing anthracnose of pomegranate in the southeastern United States",2019
10.1094/PDIS-03-19-0676-RE,"Emergence of stemphylium leaf blight of onion in New York associated with fungicide resistance",2019
10.1094/PDIS-09-19-1904-RE,"Cover crop rotation effects on growth and development, seedling disease, and yield of corn and soybean",2020
10.1094/PDIS-10-19-2224-RE,"Fungicide Application Timing Essential for the Management of Leaf Spot and Fruit Rot on Pomegranate (Punica granatum L.) in Florida",2020
10.1094/PDIS-04-20-0728-RE,"Characterization of pythium species collected from a multiple time-point sampling of cucurbits in South Carolina",2020
10.1094/PDIS-04-20-0792-RE,"Economic impact of fluopyram-amended seed treatments to reduce soybean yield loss associated with sudden death syndrome",2021
10.1094/PDIS-05-20-0945-RE,"Dynamics and spread of bacterial spot epidemics in tomato transplants grown for field production",2021
10.1094/PDIS-06-20-1273-RE,"Diversity and cross-infection potential of colletotrichum causing fruit rots in mixed-fruit orchards in kentucky",2021
10.1094/PDIS-03-21-0481-RE,"Comparative performance of sanitizers in managing plant-To-plant transfer and postharvest infection of calonectria pseudonaviculata and pseudonectria foliicola on boxwood",2021
10.1094/PDIS-05-21-0903-FE,"Stemphylium Leaf Blight: A Re-Emerging Threat to Onion Production in Eastern North America",2021
10.1094/PDIS-04-21-0764-RE,"Influence of Spatial Planting Arrangement of Winter Rye Cover Crop on Corn Seedling Disease and Corn Productivity",2021
10.1094/PDIS-11-20-2403-RE,"Pythium spp. Associated with Root Rot and Stunting of Winter Crops in North Carolina",2021
10.1094/PDIS-04-21-0883-FE,"Root-Lesion Nematodes Affecting Dryland Cereals in the Semiarid Pacific Northwest U.S.A.",2021
10.1094/PDIS-04-21-0836-RE,"Effect of Planting into a Green Winter Cereal Rye Cover Crop on Growth and Development, Seedling Disease, and Yield of Corn",2022
10.1094/PDIS-07-21-1587-RE,"Spatiotemporal Dynamics of Stemphylium Leaf Blight and Potential Inoculum Sources in New York Onion Fields",2022
10.1094/PDIS-04-21-0872-RE,"Diversity and Aggressiveness of Rhizoctonia spp. From Nebraska on Soybean and Cross-Pathogenicity to Corn and Wheat",2022
10.1094/PDIS-01-22-0174-PDN,"First Report of Bacterial Pineapple Heart Rot Caused by Dickeya zeae in Puerto Rico",2023
10.1094/PDIS-01-22-0187-RE,"Cataloging Phytophthora Species of Agriculture, Forests, Horticulture, and Restoration Outplantings in California, U.S.A.: A Sequence-Based Meta-Analysis",2023
10.1094/PDIS-01-22-0118-PDN,"First Report of Rhizoctonia solani AG 4 Causing Brown Bean of Lima Bean in Delaware",2023
10.1094/PDIS-09-22-2124-RE,"Combating an Invasive Boxwood Pathogen – Calonectria pseudonaviculata – in the United States by Shifting Production to Less-Susceptible Cultivars",2023
10.1094/PDIS-11-22-2686-SC,"Identification of a Second Vector for Rose Rosette Virus",2023
10.2135/cropsci2016.04.0235,"Forage production of grass–legume binary mixtures on intermountain western USA irrigated pastures",2017
10.2135/cropsci2016.05.0367,"Biosolids as an alternative fertilizer for kentucky bluegrass sod production in Wisconsin",2017
10.2135/cropsci2018.02.0119,"Field assessment of alfalfa populations recurrently selected for stem cell wall digestibility",2018
10.2135/cropsci2018.10.0603,"Global meta-analysis of cotton yield and weed suppression from cover crops",2019
10.2135/cropsci2018.09.0569,"Environmental influences on the relationship between fall and spring vigor in hairy vetch",2019
10.2135/cropsci2019.05.0341,"Top 10 plants: Increasing awareness of plants",2019
10.21273/JASHS03938-16,"Soil-application of zinc-EDTA increases leaf photosynthesis of immature ‘Wichita’ pecan trees",2017
10.21273/JASHS04251-17,"Soilless substrate hydrology can be engineered to influence plant water status for an ornamental containerized crop grown within optimal water potentials",2018
10.21273/JASHS05298-23,"Tocopherols, Phylloquinone, Ascorbic Acid, and Sugar Contents in Hydroponically Grown Lettuce",2023
10.2134/jeq2017.08.0338,"Changes in water quality of Grand Lake St. Marys watershed following implementation of a distressed watershed rules package",2018
10.2134/jeq2017.11.0438,"Regional variations of bovine and porcine fecal pollution as a function of landscape, nutrient, and hydrological factors",2018
10.2134/jeq2018.05.0202,"Auxin herbicides and pesticide mixtures in groundwater of a canadian prairie province",2018
10.2134/jeq2019.01.0010,"Evaluating management implications of the New York phosphorus index with farm field information",2019
10.2134/jeq2018.12.0441,"Fecal indicator bacteria and antibiotic resistance genes in storm runoff from dairy manure and compost-amended vegetable plots",2019
10.2134/jeq2019.03.0112,"Phosphorus and the Chesapeake Bay: Lingering issues and emerging concerns for agriculture",2019
10.2134/jeq2019.02.0068,"Toward a Regional Phosphorus (Re)cycle in the US Midwest",2019
10.2134/jeq2019.05.0205,"Addressing imbalances in phosphorus accumulation in Canadian agricultural soils",2019
10.1186/s40317-019-0184-4,"An initial performance review of vaginal implant transmitters paired with GPS collars",2019
10.1186/s12917-017-1008-5,"Estimating the scale of adverse animal welfare consequences of movement restriction and mitigation strategies in a classical swine fever outbreak",2017
10.1186/s12917-019-1995-5,"Seroprevalence and risk factors of Brucella ovis in domestic sheep in Wyoming, USA",2019
10.1186/s12917-019-2155-7,"Use of a voluntary testing program to study the spatial epidemiology of Johne's disease affecting dairy herds in Minnesota: A cross sectional study",2019
10.3390/land10101031,"Hotspots of agricultural ecosystem services and farmland biodiversity overlap with areas at risk of land abandonment in Japan",2021
10.3390/land10111260,"Impacts of climate change on livestock location in the us: A statistical analysis",2021
10.3390/land7010027,"A Land Systems Science Framework for Bridging Land System Architecture and Landscape Ecology: A Case Study from the Southern High Plains",2018
10.3390/land11020245,"Income Change and Inter-Farmer Relations through Conservation Agriculture in Ishikawa Prefecture, Japan: Empirical Analysis of Economic and Behavioral Factors",2022
10.3390/land11030437,"Mapping Agricultural Lands: From Conventional to Regenerative",2022
10.3390/land11040540,"Response of Surface Runoff and Sediment to the Conversion of a Marginal Grassland to a Switchgrass (Panicum virgatum) Bioenergy Feedstock System",2022
10.3390/land11050714,"Combining Tabular and Satellite-Based Datasets to Better Understand Cropland Change",2022
10.3390/land11060769,"Land Take Processes and Challenges for Urban Agriculture: A Spatial Analysis for Novi Sad, Serbia",2022
10.3390/land11060861,"Diachronic Mapping of Soil Organic Matter in Eastern Croatia Croplands",2022
